Timestamp,Stimulus,Action,Correct,Reaction_Time_ms
2025-07-12 11:22:42,No-Go,No Shot,Yes,
2025-07-12 11:22:42,No-Go,No Shot,Yes,
2025-07-12 11:22:42,Go,No Shot,No,
2025-07-12 11:22:42,Go,No Shot,No,
2025-07-12 11:22:42,No-Go,No Shot,Yes,
2025-07-12 11:22:43,Go,No Shot,No,
2025-07-12 11:22:43,No-Go,No Shot,Yes,
2025-07-12 11:22:43,Go,No Shot,No,
2025-07-12 11:22:43,Go,No Shot,No,
2025-07-12 11:22:43,Go,No Shot,No,
2025-07-12 12:21:29,Go,Shoot,Yes,2280
2025-07-12 12:21:30,Go,Shoot,Yes,1825
2025-07-12 12:21:31,Go,Shoot,Yes,1365
2025-07-12 12:21:31,No-Go,Shoot,No,1041
2025-07-12 12:21:32,No-Go,Shoot,No,774
2025-07-12 12:21:33,Go,Shoot,Yes,1066
2025-07-12 12:21:34,Go,Shoot,Yes,1403
2025-07-12 12:21:35,Go,Shoot,Yes,1325
2025-07-12 12:21:36,Go,Shoot,Yes,1028
2025-07-12 12:21:36,No-Go,Shoot,No,1006
2025-07-12 12:21:38,Go,Shoot,Yes,1133
2025-07-12 12:21:40,Go,No Shot,No,
2025-07-12 12:21:40,No-Go,Shoot,No,2080
2025-07-12 12:21:40,Go,Shoot,Yes,1947
2025-07-12 12:21:41,Go,Shoot,Yes,1990
2025-07-12 12:21:43,No-Go,No Shot,Yes,
2025-07-12 12:21:43,Go,Shoot,Yes,1429
2025-07-12 12:21:43,No-Go,No Shot,Yes,
2025-07-12 12:21:44,Go,Shoot,Yes,1715
2025-07-12 12:21:44,Go,No Shot,No,
2025-07-12 12:21:45,Go,Shoot,Yes,1643
2025-07-12 12:21:45,Go,Shoot,Yes,1382
2025-07-12 12:21:46,No-Go,No Shot,Yes,
2025-07-12 12:21:47,Go,Shoot,Yes,1870
2025-07-12 12:21:48,Go,Shoot,Yes,1805
2025-07-12 12:21:48,No-Go,No Shot,Yes,
2025-07-12 12:21:49,Go,No Shot,No,
2025-07-12 12:21:49,No-Go,No Shot,Yes,
2025-07-12 12:21:49,Go,No Shot,No,
2025-07-12 12:21:50,Go,No Shot,No,
2025-07-12 12:21:50,Go,No Shot,No,
2025-07-12 12:21:51,Go,No Shot,No,
2025-07-12 12:21:51,No-Go,No Shot,Yes,
2025-07-12 12:21:51,No-Go,No Shot,Yes,
